Trial,Clockwise,InputSpeed(deg/s),Inputtheta(deg),x0,y0,theta0,x1,y1,theta1,x*,y*,r*,delta_theta,omega_hat,v_hat,gamma
11,True,60,90,8.85225738122575e-06,5.436141629654335e-06,0.0003318909071084342,0.005738687841215839,0.005298805209367643,-1.5750793411045303,6.943919187960262e-06,0.0057553319125707575,0.005749896087621153,1.4909833956744378,0.5963933582697751,0.003429199837398621,-1.2265578510744306
12,True,60,90,8.911675744313571e-06,5.425600391376256e-06,0.00033017557590751047,0.005710368557407532,0.005295423674691509,-1.574742238469839,7.0232384692205975e-06,0.005724919543209597,0.005719494254576156,1.4953020663802508,0.5981208265521003,0.003420948631007079,-1.228149792170399
13,True,60,90,8.900672724152512e-06,5.576917859212677e-06,0.00033420386030207864,0.005784354799650724,0.005322801678445983,-1.574870096230786,6.963191513218933e-06,0.005802880207680827,0.005797303613578468,1.4875565241216349,0.5950226096486539,0.0034495267250770315,-1.2251043296850892
14,True,60,90,8.747335578504435e-06,5.4617059312580445e-06,0.0003257500278103708,0.005755878768438315,0.005313038430645176,-1.5746857810419648,6.8686155761839285e-06,0.0057728286298778745,0.005767367229943166,1.490663165832053,0.5962652663328212,0.003438880757401247,-1.2262698787607311
15,True,60,90,8.944931751351946e-06,5.539993747518122e-06,0.0003317686442913184,0.005727964947698063,0.00530183505328174,-1.5749190214854851,7.041261258377944e-06,0.005743485564806498,0.005737945886848072,1.4934182121449395,0.5973672848579759,0.0034276611550884233,-1.2274676009098866
16,True,60,90,8.908066510625226e-06,5.467415394052265e-06,0.00033238936053193877,0.005701742775445616,0.005294855818276842,-1.574668780346466,7.010035482280744e-06,0.005715731292094475,0.005710264192143086,1.4966919616412777,0.5986767846565111,0.0034186026060914324,-1.2286772525393104
17,True,60,90,8.922583506016993e-06,5.488917284448894e-06,0.0003309387719770731,0.005704276629838886,0.005294918214367491,-1.5746908693652897,7.031941600834854e-06,0.005718454566083199,0.005712965961642109,1.49626132541631,0.5985045301665239,0.0034192360087299542,-1.2285132534214305
18,True,60,90,8.62123109211862e-06,7.695180830548215e-06,0.0003202993755257163,0.0057575751651985155,0.005314486306678982,-1.574741410624398,6.773303378978905e-06,0.005777071555396641,0.005769376670511142,1.4902104537754504,0.5960841815101802,0.0034390341704655623,-1.2261088655101497
19,True,60,90,8.903612457682703e-06,5.591347111686008e-06,0.00033410597015005763,0.005719995048007702,0.005296636053611923,-1.5748159581925743,6.9892415845000146e-06,0.005735422517419417,0.005729831490109103,1.4938078777842505,0.5975231511137002,0.0034237069673204996,-1.22758317677879
20,True,60,90,8.94553478929517e-06,5.6474263853799305e-06,0.0003360517324196885,0.005785411526453489,0.005323208322071754,-1.5748580033453108,6.9969775774820706e-06,0.005804031872828081,0.005798384773850717,1.4874412391068996,0.5949764956427599,0.0034499026531340364,-1.225054117673852
21,False,60,90,8.906219159907643e-06,5.537178977753614e-06,0.0003340172568012949,0.006762865866942134,-0.007394040816867524,1.5748448552600938,1.1170875588212194e-05,-0.006774520731118,0.0067800582883129215,-1.662631832018311,-0.6650527328073245,-0.004509096293235459,1.2948570680086413
22,False,60,90,8.92905997326519e-06,5.532869171782851e-06,0.0003309062607030189,0.0068039683863373125,-0.007394031004757461,1.5753524999710602,1.1185066978022015e-05,-0.006812128778026112,0.00681766202046132,-1.65658337282771,-0.662633349131084,-0.0045176102178620765,1.2926419866152268
23,False,60,90,8.899362640531704e-06,5.547988810312942e-06,0.00033263841784115513,0.006827572594700969,-0.0074009652622489125,1.5751732564193501,1.1174578378825815e-05,-0.006834358445161143,0.006839906812383541,-1.6540623837453359,-0.6616249534981343,-0.004525453026674833,1.2915612006987378
24,False,60,90,8.889088033500434e-06,5.4658748396225205e-06,0.00032973925859168437,0.006762897592482046,-0.0073941400856533356,1.5748423533350335,1.1124763576854466e-05,-0.006774665407906112,0.006780131651340736,-1.6626198358274156,-0.6650479343309662,-0.004509112549216159,1.294852979961543
25,False,60,90,8.989883911463503e-06,5.580116737981903e-06,0.00033033107032977017,0.006827875393198718,-0.00740088452255834,1.575170142055004,1.1249385693759984e-05,-0.006834532434154987,0.006840112924084794,-1.6540202028453712,-0.6616080811381485,-0.00452547398647199,1.2915440055320182
26,False,60,90,8.873661798891568e-06,5.463590307510096e-06,0.0003302848036555662,0.006763006738472114,-0.0073942015348851435,1.5748440763376153,1.111307426141699e-05,-0.006774782900929505,0.006780246861058971,-1.662610521902531,-0.6650442087610123,-0.004509163908917301,1.294849725374596
27,False,60,90,8.933551213026524e-06,5.502487512044085e-06,0.00033154815204867945,0.006827734100386079,-0.007400934709112076,1.5751712351693803,1.1201348819186822e-05,-0.006834522133502611,0.006840024996956712,-1.654031361553976,-0.6616125446215904,-0.004525446343511816,1.291548419428523
28,False,60,90,8.856294507046362e-06,5.558285504823114e-06,0.0003338188515620058,0.0067644907017744525,-0.007394558461991003,1.5748588705699003,1.11201311911867e-05,-0.006776073696801171,0.006781632360161678,-1.662457030576091,-0.6649828122304364,-0.004509668958373245,1.2947928329177718
29,False,60,90,8.94460083546031e-06,5.5137539867852235e-06,0.0003305774003820655,0.006803752498490333,-0.007393974296863983,1.575351290926304,1.1198294281809015e-05,-0.006811931605699951,0.0068174457321968,-1.656606440901836,-0.6626425763607344,-0.004517529804182381,1.2926508617711032
30,False,60,90,8.877861478075114e-06,5.505469644983476e-06,0.0003313374558432085,0.0068275682740590845,-0.0074009213166948045,1.5751697946689758,1.1144184517238118e-05,-0.0068344183489869245,0.006839924194090767,-1.6540456363676508,-0.6616182545470604,-0.004525418706528541,1.2915536374323136
