Trial,Clockwise,InputSpeed(deg/s),Inputtheta(deg),x0,y0,theta0,x1,y1,theta1,x*,y*,r*,delta_theta,omega_hat,v_hat,gamma
12,True,30,90,8.959044708013555e-06,5.486680893089982e-06,0.0003296293554445122,0.005849738128401675,0.005008676802008699,-1.5734573801294427,7.009891757464842e-06,0.005918652021781394,0.005913165662137322,1.415963039963619,0.35399075999090474,0.002093206006692112,-0.7474375123621265
13,True,30,90,8.941128022420874e-06,5.516986897026288e-06,0.00033423878068110965,0.0058643289316413095,0.005013962115823147,-1.5735048478676321,6.959320940119924e-06,0.005934831964837597,0.005929315309138965,1.4145229023558448,0.3536307255889612,0.002096788075016548,-0.7470904972510395
14,True,30,90,8.890407833271555e-06,5.423851339968625e-06,0.00033316777614102514,0.005852292522965543,0.005006717527582627,-1.5737564582507313,6.919186774411671e-06,0.0059220254169400875,0.005916601893973791,1.4151377301784678,0.35378443254461694,0.0020932016436519237,-0.7473068390513351
15,True,30,90,8.955748658790669e-06,5.588804940338598e-06,0.0003312812803258619,0.005833056220100677,0.005000943288163509,-1.5734862859040342,7.002804599883557e-06,0.0059007120836925015,0.005895123602239071,1.4172368090799121,0.35430920226997803,0.0020886965407922444,-0.7477635940660681
16,True,30,90,8.908571944897928e-06,5.484956343376115e-06,0.000333910074911658,0.005828449803361583,0.005000441731533067,-1.5734379554039435,6.941876524633583e-06,0.005895380155497872,0.005889895527504207,1.417926892394466,0.35412759550312173,0.0020857745409196557,-0.7471775119563915
17,True,30,90,8.896838460004977e-06,5.45584196073229e-06,0.000333581163119857,0.005852028979994069,0.005006928619501613,-1.5737582438094613,6.92328683047673e-06,0.00592171183755244,0.0059162563247615345,1.4152179336679058,0.35380448341697646,0.0020931980127446743,-0.7473274396601217
18,True,30,90,8.93641314337101e-06,5.537434395746431e-06,0.0003316574701674146,0.005827632245809707,0.005000428458331749,-1.5734332665482207,6.983313436292014e-06,0.00589444334229484,0.00588890623177915,1.4180619875150011,0.3545154968787503,0.0020877085188315543,-0.7479567278833473
19,True,30,90,8.942554231130221e-06,5.520523976329263e-06,0.00033345353674108923,0.00583546360249822,0.005004121492315306,-1.5735928459192057,6.976052735782872e-06,0.005902898136704469,0.005897377940596582,1.4174638992050408,0.3543659748012602,0.002089830082690956,-0.7478475496652469
20,True,30,90,8.8896562898085e-06,5.459069134164017e-06,0.00033087327176431827,0.005838523484313874,0.005002987247847645,-1.5736392596618383,6.937111596724312e-06,0.005906644775129406,0.00590118602901767,1.4167290687298693,0.3541822671824673,0.00209009544682298,-0.747674800415868
21,False,30,90,8.912762829980895e-06,5.560167849618061e-06,0.0003328202050804484,0.006823990715499718,-0.007653531364434579,1.5738077626976987,1.1195759976983122e-05,-0.006853990508031286,0.006859551055794697,-1.687953473925392,-0.421988368481348,-0.0028946507585493127,0.8153571041045026
22,False,30,90,8.451920184674752e-06,5.753061130848404e-06,0.0003056421558812895,0.006810545240496591,-0.007649620992486625,1.5738931059243886,1.0544892839142814e-05,-0.006842034618091902,0.00684778799907309,-1.6893109773130737,-0.4223277443282684,-0.0028920108592867247,0.8157246102703952
23,False,30,90,8.928080724723565e-06,5.443408234093409e-06,0.00032883896669229097,0.006793618349219873,-0.007649322091349581,1.5736918043531354,1.117475706426856e-05,-0.00682670389219747,0.0068321476698289295,-1.6918220416949983,-0.42295551042374957,-0.002889694504982926,0.8162962517703604
24,False,30,90,8.88422615682296e-06,5.525244919516504e-06,0.00033266617959603386,0.006834116446072539,-0.007655131458856124,1.5736230900768449,1.1169226914550627e-05,-0.0068632243112002654,0.006868749936191022,-1.686677248753635,-0.42166931218840875,-0.0028963410611878445,0.814991918162721
